ID, Splay Tree Integer Sequence, AVL Tree Integer Sequence, Binary Tree Integer Sequence, Splay Tree Random Sequence, AVL Tree Random Sequence, Binary Tree Random Sequence, Splay Tree Duplicate Integer Sequence, AVL Tree Duplicate Integer Sequence, Binary Tree Duplicate Integer Sequence, Splay Tree Prime Integer Sequence, AVL Tree Prime Integer Sequence, Binary Tree Integer Sequence
1661, 17, 11, 14, 24, 13, 22, 1, 11, 10, -1, -1, -1
1662, 23, 11, 12, 11, 8, 19, 2, 11, 10, -1, -1, -1
1663, 12, 8, 10, 19, 10, 15, 1, 11, 10, -1, -1, -1
1664, 27, 11, 13, 11, 13, 17, 1, 11, 10, -1, -1, -1
1665, 23, 9, 16, 19, 10, 15, 10, 11, 8, -1, -1, -1
1666, 17, 11, 7, 9, 9, 12, 2, 11, 8, -1, -1, -1
1667, 15, 11, 9, 14, 9, 16, 1, 11, 8, -1, -1, -1
1668, 16, 11, 12, 12, 11, 12, 3, 11, 8, -1, -1, -1
1669, 13, 11, 10, 18, 12, 16, 3, 11, 8, -1, -1, -1
1670, 20, 8, 21, 12, 11, 18, 9, 10, 16, -1, -1, -1
1671, 17, 10, 12, 30, 14, 16, 1, 10, 16, -1, -1, -1
1672, 16, 11, 23, 12, 12, 17, 1, 10, 16, -1, -1, -1
1673, 26, 10, 16, 16, 12, 16, 2, 10, 16, -1, -1, -1
1674, 18, 11, 12, 12, 13, 17, 4, 10, 16, -1, -1, -1
1675, 17, 13, 16, 11, 12, 20, 20, 12, 12, -1, -1, -1
1676, 19, 7, 16, 25, 12, 20, 1, 12, 12, -1, -1, -1
1677, 17, 11, 13, 17, 12, 9, 3, 12, 12, -1, -1, -1
1678, 11, 10, 13, 20, 13, 19, 1, 12, 12, -1, -1, -1
1679, 19, 13, 14, 10, 7, 8, 2, 12, 12, -1, -1, -1
1680, 16, 8, 6, 16, 12, 16, 20, 12, 8, -1, -1, -1
1681, 22, 8, 8, 27, 14, 16, 3, 12, 8, -1, -1, -1
1682, 17, 7, 12, 19, 12, 7, 1, 12, 8, -1, -1, -1
1683, 10, 10, 14, 22, 12, 15, 3, 12, 8, -1, -1, -1
1684, 12, 11, 9, 16, 12, 14, 2, 12, 8, -1, -1, -1
1685, 20, 13, 15, 18, 10, 12, 16, 10, 5, -1, -1, -1
1686, 17, 8, 15, 13, 12, 14, 2, 10, 5, -1, -1, -1
1687, 15, 13, 16, 10, 12, 16, 3, 10, 5, -1, -1, -1
1688, 14, 12, 17, 21, 11, 16, 1, 10, 5, -1, -1, -1
1689, 14, 12, 14, 21, 12, 15, 1, 10, 5, -1, -1, -1
1690, 16, 10, 16, 20, 12, 13, 23, 8, 9, -1, -1, -1
1691, 12, 10, 10, 17, 11, 17, 1, 8, 9, -1, -1, -1
1692, 7, 9, 9, 23, 12, 14, 2, 8, 9, -1, -1, -1
1693, 16, 8, 17, 16, 10, 12, 1, 8, 9, -1, -1, -1
1694, 22, 10, 14, 9, 12, 10, 3, 8, 9, -1, -1, -1
1695, 12, 12, 10, 17, 14, 18, 14, 10, 6, -1, -1, -1
1696, 17, 12, 15, 23, 12, 15, 3, 10, 6, -1, -1, -1
1697, 12, 10, 9, 13, 11, 17, 2, 10, 6, -1, -1, -1
1698, 11, 10, 12, 11, 12, 13, 2, 10, 6, -1, -1, -1
1699, 15, 12, 10, 20, 13, 15, 1, 10, 6, -1, -1, -1
1700, 15, 11, 14, 23, 12, 13, 14, 9, 13, -1, -1, -1
1701, 19, 14, 14, 17, 12, 17, 2, 9, 13, -1, -1, -1
1702, 16, 11, 16, 15, 7, 3, 3, 9, 13, -1, -1, -1
1703, 11, 12, 17, 21, 13, 20, 3, 9, 13, -1, -1, -1
1704, 17, 10, 15, 25, 7, 21, 2, 9, 13, -1, -1, -1
1705, 21, 12, 11, 10, 12, 17, 8, 12, 12, -1, -1, -1
1706, 16, 9, 9, 23, 10, 23, 1, 12, 12, -1, -1, -1
1707, 9, 13, 20, 9, 10, 18, 2, 12, 12, -1, -1, -1
1708, 15, 13, 13, 16, 13, 15, 1, 12, 12, -1, -1, -1
1709, 16, 9, 11, 20, 12, 8, 3, 12, 12, -1, -1, -1
1710, 12, 9, 13, 8, 11, 14, 22, 9, 11, -1, -1, -1
1711, 15, 13, 11, 21, 11, 24, 3, 9, 11, -1, -1, -1
1712, 26, 14, 12, 17, 14, 16, 2, 9, 11, -1, -1, -1
1713, 19, 9, 18, 11, 13, 13, 3, 9, 11, -1, -1, -1
1714, 13, 7, 4, 14, 12, 12, 1, 9, 11, -1, -1, -1
1715, 16, 12, 11, 17, 11, 20, 16, 13, 10, -1, -1, -1
1716, 6, 8, 13, 22, 10, 16, 2, 13, 10, -1, -1, -1
1717, 24, 13, 19, 7, 12, 21, 3, 13, 10, -1, -1, -1
1718, 23, 9, 13, 14, 14, 15, 2, 13, 10, -1, -1, -1
1719, 16, 11, 14, 13, 12, 18, 2, 13, 10, -1, -1, -1
1720, 16, 11, 14, 15, 10, 16, 22, 12, 10, -1, -1, -1
1721, 13, 11, 23, 18, 14, 13, 1, 12, 10, -1, -1, -1
1722, 19, 10, 13, 22, 12, 17, 1, 12, 10, -1, -1, -1
1723, 21, 10, 8, 14, 12, 16, 1, 12, 10, -1, -1, -1
1724, 13, 11, 17, 23, 12, 15, 3, 12, 10, -1, -1, -1
1725, 16, 11, 14, 18, 13, 18, 17, 12, 9, -1, -1, -1
1726, 12, 10, 10, 16, 13, 19, 2, 12, 9, -1, -1, -1
1727, 13, 11, 11, 22, 9, 15, 1, 12, 9, -1, -1, -1
1728, 20, 12, 12, 16, 12, 19, 1, 12, 9, -1, -1, -1
1729, 14, 10, 13, 20, 12, 10, 4, 12, 9, -1, -1, -1
1730, 18, 9, 15, 15, 13, 13, 11, 7, 8, -1, -1, -1
1731, 14, 11, 10, 20, 11, 15, 3, 7, 8, -1, -1, -1
1732, 25, 11, 18, 12, 12, 18, 1, 7, 8, -1, -1, -1
1733, 16, 11, 8, 23, 13, 16, 1, 7, 8, -1, -1, -1
1734, 23, 13, 17, 6, 12, 11, 1, 7, 8, -1, -1, -1
1735, 25, 12, 10, 18, 12, 17, 19, 7, 14, -1, -1, -1
1736, 15, 12, 13, 16, 12, 23, 1, 7, 14, -1, -1, -1
1737, 19, 12, 16, 21, 12, 18, 3, 7, 14, -1, -1, -1
1738, 19, 8, 8, 13, 10, 18, 2, 7, 14, -1, -1, -1
1739, 13, 13, 13, 18, 11, 16, 1, 7, 14, -1, -1, -1
1740, 16, 10, 12, 18, 11, 12, 15, 6, 7, -1, -1, -1
1741, 20, 7, 10, 17, 12, 17, 2, 6, 7, -1, -1, -1
1742, 15, 11, 16, 21, 12, 14, 2, 6, 7, -1, -1, -1
1743, 16, 12, 14, 15, 11, 19, 2, 6, 7, -1, -1, -1
1744, 13, 12, 10, 21, 12, 20, 2, 6, 7, -1, -1, -1
1745, 10, 11, 11, 24, 13, 16, 8, 9, 10, -1, -1, -1
1746, 22, 7, 13, 15, 11, 12, 1, 9, 10, -1, -1, -1
1747, 13, 14, 8, 14, 12, 12, 3, 9, 10, -1, -1, -1
1748, 15, 11, 13, 16, 9, 16, 1, 9, 10, -1, -1, -1
1749, 19, 11, 15, 22, 13, 23, 2, 9, 10, -1, -1, -1
1750, 23, 11, 23, 16, 13, 24, 12, 9, 13, -1, -1, -1
1751, 7, 8, 15, 13, 12, 12, 2, 9, 13, -1, -1, -1
1752, 8, 8, 24, 16, 12, 16, 4, 9, 13, -1, -1, -1
1753, 23, 10, 13, 14, 9, 12, 1, 9, 13, -1, -1, -1
1754, 19, 10, 18, 16, 13, 12, 3, 9, 13, -1, -1, -1
1755, 25, 10, 15, 14, 13, 11, 14, 12, 12, -1, -1, -1
1756, 11, 11, 21, 16, 11, 14, 2, 12, 12, -1, -1, -1
1757, 18, 12, 11, 14, 10, 19, 3, 12, 12, -1, -1, -1
1758, 16, 10, 12, 12, 9, 9, 3, 12, 12, -1, -1, -1
1759, 15, 12, 12, 10, 13, 15, 2, 12, 12, -1, -1, -1
1760, 17, 12, 13, 24, 12, 15, 19, 6, 12, -1, -1, -1
1761, 25, 10, 15, 18, 12, 15, 2, 6, 12, -1, -1, -1
1762, 22, 11, 10, 20, 11, 15, 2, 6, 12, -1, -1, -1
1763, 13, 9, 11, 18, 12, 15, 3, 6, 12, -1, -1, -1
1764, 17, 10, 16, 12, 11, 22, 1, 6, 12, -1, -1, -1
1765, 25, 10, 14, 17, 13, 17, 17, 10, 8, -1, -1, -1
1766, 14, 9, 16, 14, 13, 20, 4, 10, 8, -1, -1, -1
1767, 9, 14, 12, 19, 11, 17, 3, 10, 8, -1, -1, -1
1768, 21, 11, 16, 10, 13, 12, 3, 10, 8, -1, -1, -1
1769, 21, 11, 13, 16, 11, 11, 3, 10, 8, -1, -1, -1
1770, 13, 13, 13, 18, 11, 22, 14, 13, 9, -1, -1, -1
1771, 17, 11, 14, 17, 12, 13, 2, 13, 9, -1, -1, -1
1772, 16, 9, 15, 10, 13, 13, 3, 13, 9, -1, -1, -1
1773, 6, 11, 11, 15, 13, 18, 2, 13, 9, -1, -1, -1
1774, 10, 14, 17, 17, 10, 9, 2, 13, 9, -1, -1, -1
1775, 12, 9, 17, 13, 15, 19, 14, 9, 7, -1, -1, -1
1776, 12, 12, 11, 10, 11, 18, 3, 9, 7, -1, -1, -1
1777, 18, 11, 13, 16, 10, 14, 3, 9, 7, -1, -1, -1
1778, 15, 10, 15, 13, 10, 17, 2, 9, 7, -1, -1, -1
1779, 17, 6, 14, 13, 12, 16, 2, 9, 7, -1, -1, -1
1780, 16, 10, 15, 30, 12, 10, 20, 9, 13, -1, -1, -1
1781, 17, 12, 16, 13, 13, 9, 3, 9, 13, -1, -1, -1
1782, 21, 13, 10, 19, 13, 15, 1, 9, 13, -1, -1, -1
1783, 18, 12, 17, 13, 13, 19, 3, 9, 13, -1, -1, -1
1784, 8, 10, 7, 12, 11, 16, 3, 9, 13, -1, -1, -1
1785, 22, 11, 11, 21, 14, 18, 10, 8, 12, -1, -1, -1
1786, 12, 12, 19, 17, 9, 9, 3, 8, 12, -1, -1, -1
1787, 18, 11, 18, 24, 11, 21, 1, 8, 12, -1, -1, -1
1788, 13, 11, 11, 20, 12, 16, 1, 8, 12, -1, -1, -1
1789, 9, 14, 18, 20, 12, 18, 3, 8, 12, -1, -1, -1
1790, 12, 12, 9, 5, 10, 13, 26, 9, 7, -1, -1, -1
1791, 16, 11, 9, 18, 12, 17, 2, 9, 7, -1, -1, -1
1792, 18, 12, 16, 12, 12, 12, 4, 9, 7, -1, -1, -1
1793, 10, 13, 11, 24, 11, 16, 3, 9, 7, -1, -1, -1
1794, 18, 9, 11, 18, 13, 13, 1, 9, 7, -1, -1, -1
1795, 13, 9, 12, 17, 11, 12, 21, 5, 8, -1, -1, -1
1796, 12, 10, 12, 18, 14, 17, 1, 5, 8, -1, -1, -1
1797, 18, 12, 13, 28, 12, 14, 1, 5, 8, -1, -1, -1
1798, 18, 10, 16, 15, 12, 14, 1, 5, 8, -1, -1, -1
1799, 9, 13, 12, 17, 11, 20, 3, 5, 8, -1, -1, -1
1800, 15, 11, 12, 16, 13, 13, 20, 12, 12, -1, -1, -1
1801, 15, 9, 12, 22, 12, 11, 3, 12, 12, -1, -1, -1
1802, 19, 13, 14, 10, 13, 17, 2, 12, 12, -1, -1, -1
1803, 16, 10, 14, 18, 9, 12, 1, 12, 12, -1, -1, -1
1804, 13, 11, 13, 20, 9, 10, 1, 12, 12, -1, -1, -1
1805, 11, 12, 12, 14, 8, 19, 12, 7, 11, -1, -1, -1
1806, 19, 11, 15, 14, 12, 11, 1, 7, 11, -1, -1, -1
1807, 23, 12, 10, 16, 10, 8, 1, 7, 11, -1, -1, -1
1808, 14, 13, 17, 13, 14, 12, 3, 7, 11, -1, -1, -1
1809, 9, 10, 13, 20, 13, 16, 1, 7, 11, -1, -1, -1
1810, 14, 12, 16, 12, 9, 14, 16, 12, 10, -1, -1, -1
1811, 11, 10, 15, 22, 12, 11, 1, 12, 10, -1, -1, -1
1812, 16, 9, 18, 20, 13, 11, 3, 12, 10, -1, -1, -1
1813, 16, 11, 16, 19, 11, 13, 2, 12, 10, -1, -1, -1
1814, 13, 11, 11, 9, 11, 13, 2, 12, 10, -1, -1, -1
1815, 22, 10, 11, 12, 12, 14, 13, 8, 12, -1, -1, -1
1816, 13, 12, 13, 18, 11, 15, 2, 8, 12, -1, -1, -1
1817, 13, 10, 8, 11, 12, 9, 3, 8, 12, -1, -1, -1
1818, 14, 13, 10, 15, 14, 16, 3, 8, 12, -1, -1, -1
1819, 16, 12, 19, 13, 12, 11, 2, 8, 12, -1, -1, -1
1820, 15, 12, 13, 13, 10, 24, 13, 10, 7, -1, -1, -1
1821, 16, 12, 11, 20, 7, 11, 2, 10, 7, -1, -1, -1
1822, 13, 12, 14, 26, 14, 14, 1, 10, 7, -1, -1, -1
1823, 8, 13, 14, 21, 10, 20, 2, 10, 7, -1, -1, -1
1824, 9, 8, 10, 16, 11, 14, 1, 10, 7, -1, -1, -1
1825, 25, 9, 9, 15, 13, 17, 15, 11, 8, -1, -1, -1
1826, 15, 14, 16, 10, 14, 14, 2, 11, 8, -1, -1, -1
1827, 22, 12, 19, 10, 13, 16, 3, 11, 8, -1, -1, -1
1828, 18, 11, 14, 14, 11, 14, 1, 11, 8, -1, -1, -1
1829, 12, 11, 11, 16, 13, 18, 2, 11, 8, -1, -1, -1
1830, 10, 11, 9, 14, 12, 16, 21, 10, 11, -1, -1, -1
1831, 15, 13, 16, 18, 14, 13, 1, 10, 11, -1, -1, -1
1832, 8, 12, 15, 13, 12, 15, 2, 10, 11, -1, -1, -1
1833, 15, 9, 10, 23, 12, 14, 2, 10, 11, -1, -1, -1
1834, 22, 13, 11, 14, 13, 12, 2, 10, 11, -1, -1, -1
1835, 14, 10, 6, 12, 11, 12, 15, 9, 10, -1, -1, -1
1836, 17, 12, 7, 14, 11, 18, 1, 9, 10, -1, -1, -1
1837, 13, 13, 14, 13, 14, 17, 2, 9, 10, -1, -1, -1
1838, 18, 10, 13, 13, 13, 11, 2, 9, 10, -1, -1, -1
1839, 17, 10, 12, 10, 12, 11, 3, 9, 10, -1, -1, -1
1840, 20, 12, 12, 20, 10, 18, 14, 6, 9, -1, -1, -1
1841, 16, 11, 16, 25, 12, 19, 2, 6, 9, -1, -1, -1
1842, 13, 10, 14, 20, 14, 21, 1, 6, 9, -1, -1, -1
1843, 15, 11, 11, 22, 14, 17, 1, 6, 9, -1, -1, -1
1844, 14, 10, 15, 15, 12, 17, 2, 6, 9, -1, -1, -1
1845, 14, 11, 10, 17, 11, 15, 17, 7, 13, -1, -1, -1
1846, 18, 12, 14, 24, 11, 9, 3, 7, 13, -1, -1, -1
1847, 20, 13, 18, 15, 13, 20, 2, 7, 13, -1, -1, -1
1848, 14, 14, 10, 16, 12, 19, 1, 7, 13, -1, -1, -1
1849, 30, 10, 14, 16, 9, 13, 2, 7, 13, -1, -1, -1
1850, 11, 11, 25, 9, 10, 16, 17, 5, 9, -1, -1, -1
1851, 20, 11, 19, 15, 13, 16, 1, 5, 9, -1, -1, -1
1852, 12, 9, 16, 12, 7, 19, 2, 5, 9, -1, -1, -1
1853, 17, 10, 14, 18, 14, 15, 3, 5, 9, -1, -1, -1
1854, 15, 10, 11, 13, 11, 14, 2, 5, 9, -1, -1, -1
1855, 20, 11, 16, 18, 12, 11, 21, 8, 10, -1, -1, -1
1856, 16, 10, 14, 22, 12, 12, 2, 8, 10, -1, -1, -1
1857, 22, 13, 13, 14, 13, 15, 2, 8, 10, -1, -1, -1
1858, 14, 11, 11, 16, 13, 17, 3, 8, 10, -1, -1, -1
1859, 16, 10, 14, 12, 13, 16, 3, 8, 10, -1, -1, -1
1860, 20, 11, 15, 19, 14, 15, 13, 8, 8, -1, -1, -1
1861, 12, 9, 15, 11, 12, 14, 2, 8, 8, -1, -1, -1
1862, 14, 10, 12, 10, 13, 18, 1, 8, 8, -1, -1, -1
1863, 19, 9, 12, 14, 13, 10, 1, 8, 8, -1, -1, -1
1864, 17, 13, 11, 9, 9, 9, 2, 8, 8, -1, -1, -1
1865, 15, 12, 17, 15, 15, 17, 21, 7, 17, -1, -1, -1
1866, 23, 13, 12, 15, 12, 15, 2, 7, 17, -1, -1, -1
1867, 14, 11, 20, 18, 12, 11, 3, 7, 17, -1, -1, -1
1868, 13, 13, 15, 11, 12, 20, 2, 7, 17, -1, -1, -1
1869, 18, 10, 14, 20, 12, 12, 1, 7, 17, -1, -1, -1
1870, 11, 11, 20, 17, 13, 14, 19, 12, 13, -1, -1, -1
1871, 7, 11, 21, 17, 11, 17, 1, 12, 13, -1, -1, -1
1872, 16, 13, 12, 17, 10, 16, 2, 12, 13, -1, -1, -1
1873, 13, 10, 14, 13, 9, 25, 2, 12, 13, -1, -1, -1
1874, 16, 8, 8, 10, 11, 14, 4, 12, 13, -1, -1, -1
1875, 17, 10, 19, 15, 13, 12, 19, 10, 9, -1, -1, -1
1876, 18, 8, 12, 17, 12, 8, 2, 10, 9, -1, -1, -1
1877, 10, 11, 12, 16, 12, 12, 2, 10, 9, -1, -1, -1
1878, 15, 11, 9, 16, 13, 17, 1, 10, 9, -1, -1, -1
1879, 16, 12, 11, 10, 9, 25, 1, 10, 9, -1, -1, -1
1880, 16, 11, 14, 17, 13, 26, 17, 10, 9, -1, -1, -1
1881, 14, 13, 13, 15, 5, 7, 2, 10, 9, -1, -1, -1
1882, 17, 12, 15, 13, 9, 12, 1, 10, 9, -1, -1, -1
1883, 14, 11, 19, 20, 12, 15, 3, 10, 9, -1, -1, -1
1884, 17, 12, 17, 18, 13, 17, 3, 10, 9, -1, -1, -1
1885, 22, 8, 17, 15, 9, 10, 22, 11, 11, -1, -1, -1
1886, 16, 10, 10, 19, 11, 16, 2, 11, 11, -1, -1, -1
1887, 14, 12, 11, 20, 13, 12, 2, 11, 11, -1, -1, -1
1888, 14, 8, 18, 19, 14, 13, 2, 11, 11, -1, -1, -1
1889, 20, 9, 16, 30, 12, 14, 3, 11, 11, -1, -1, -1
1890, 17, 12, 13, 16, 12, 14, 16, 11, 10, -1, -1, -1
1891, 17, 9, 15, 18, 12, 13, 1, 11, 10, -1, -1, -1
1892, 18, 10, 12, 19, 13, 19, 2, 11, 10, -1, -1, -1
1893, 16, 13, 13, 16, 12, 11, 3, 11, 10, -1, -1, -1
1894, 22, 8, 15, 17, 13, 19, 3, 11, 10, -1, -1, -1
1895, 10, 12, 13, 12, 12, 13, 14, 12, 12, -1, -1, -1
1896, 15, 10, 10, 6, 12, 14, 3, 12, 12, -1, -1, -1
1897, 9, 10, 18, 18, 13, 21, 3, 12, 12, -1, -1, -1
1898, 18, 11, 19, 18, 14, 19, 1, 12, 12, -1, -1, -1
1899, 20, 13, 11, 17, 13, 12, 2, 12, 12, -1, -1, -1
1900, 24, 12, 10, 24, 15, 14, 10, 8, 13, -1, -1, -1
1901, 11, 11, 18, 16, 10, 19, 2, 8, 13, -1, -1, -1
1902, 19, 8, 14, 22, 12, 18, 1, 8, 13, -1, -1, -1
1903, 14, 10, 12, 15, 9, 13, 1, 8, 13, -1, -1, -1
1904, 17, 13, 14, 16, 12, 13, 1, 8, 13, -1, -1, -1
1905, 15, 12, 15, 19, 12, 12, 17, 10, 9, -1, -1, -1
1906, 12, 11, 20, 21, 14, 16, 3, 10, 9, -1, -1, -1
1907, 13, 12, 16, 13, 12, 20, 2, 10, 9, -1, -1, -1
1908, 15, 11, 16, 13, 7, 13, 1, 10, 9, -1, -1, -1
1909, 16, 12, 9, 22, 13, 16, 3, 10, 9, -1, -1, -1
1910, 10, 9, 17, 13, 12, 13, 26, 10, 8, -1, -1, -1
1911, 11, 9, 6, 11, 13, 17, 2, 10, 8, -1, -1, -1
1912, 17, 9, 14, 13, 11, 19, 2, 10, 8, -1, -1, -1
1913, 18, 10, 12, 10, 12, 14, 1, 10, 8, -1, -1, -1
1914, 16, 9, 21, 12, 12, 18, 3, 10, 8, -1, -1, -1
1915, 17, 12, 15, 12, 11, 13, 10, 13, 11, -1, -1, -1
1916, 18, 10, 13, 11, 15, 17, 1, 13, 11, -1, -1, -1
1917, 13, 13, 12, 12, 10, 26, 3, 13, 11, -1, -1, -1
1918, 15, 12, 10, 16, 10, 20, 3, 13, 11, -1, -1, -1
1919, 20, 10, 13, 8, 12, 25, 2, 13, 11, -1, -1, -1
1920, 24, 11, 16, 12, 12, 12, 21, 10, 9, -1, -1, -1
1921, 26, 9, 13, 12, 12, 14, 4, 10, 9, -1, -1, -1
1922, 19, 10, 14, 21, 13, 18, 2, 10, 9, -1, -1, -1
1923, 14, 11, 13, 19, 9, 12, 2, 10, 9, -1, -1, -1
1924, 13, 11, 13, 12, 14, 22, 3, 10, 9, -1, -1, -1
1925, 23, 10, 17, 12, 13, 19, 15, 12, 10, -1, -1, -1
1926, 20, 11, 18, 14, 13, 14, 3, 12, 10, -1, -1, -1
1927, 19, 12, 14, 14, 11, 8, 3, 12, 10, -1, -1, -1
1928, 15, 12, 12, 17, 11, 28, 1, 12, 10, -1, -1, -1
1929, 9, 11, 15, 16, 14, 18, 1, 12, 10, -1, -1, -1
1930, 5, 9, 13, 17, 13, 16, 18, 9, 6, -1, -1, -1
1931, 18, 9, 14, 18, 12, 17, 2, 9, 6, -1, -1, -1
1932, 11, 11, 13, 20, 11, 18, 3, 9, 6, -1, -1, -1
1933, 23, 11, 13, 14, 12, 13, 2, 9, 6, -1, -1, -1
1934, 13, 10, 15, 21, 14, 17, 2, 9, 6, -1, -1, -1
1935, 7, 8, 12, 10, 15, 22, 26, 9, 8, -1, -1, -1
1936, 13, 13, 13, 22, 10, 14, 3, 9, 8, -1, -1, -1
1937, 18, 12, 16, 10, 12, 23, 1, 9, 8, -1, -1, -1
1938, 11, 11, 9, 13, 12, 21, 1, 9, 8, -1, -1, -1
1939, 18, 8, 16, 16, 13, 9, 3, 9, 8, -1, -1, -1
1940, 13, 11, 11, 12, 8, 13, 15, 7, 7, -1, -1, -1
1941, 18, 8, 13, 11, 12, 14, 2, 7, 7, -1, -1, -1
1942, 15, 9, 12, 9, 13, 19, 2, 7, 7, -1, -1, -1
1943, 17, 11, 14, 16, 12, 11, 1, 7, 7, -1, -1, -1
1944, 21, 10, 20, 15, 12, 10, 1, 7, 7, -1, -1, -1
1945, 16, 14, 11, 11, 9, 12, 24, 10, 11, -1, -1, -1
1946, 14, 9, 11, 10, 11, 14, 3, 10, 11, -1, -1, -1
1947, 18, 12, 14, 17, 13, 11, 2, 10, 11, -1, -1, -1
1948, 16, 9, 18, 17, 11, 15, 2, 10, 11, -1, -1, -1
1949, 17, 12, 13, 10, 12, 18, 1, 10, 11, -1, -1, -1
1950, 17, 8, 13, 25, 13, 11, 11, 10, 10, -1, -1, -1
1951, 15, 13, 12, 24, 11, 15, 1, 10, 10, -1, -1, -1
1952, 17, 12, 11, 20, 12, 20, 1, 10, 10, -1, -1, -1
1953, 8, 11, 9, 20, 12, 14, 3, 10, 10, -1, -1, -1
1954, 16, 10, 17, 20, 15, 20, 3, 10, 10, -1, -1, -1
1955, 20, 10, 13, 13, 11, 18, 27, 10, 13, -1, -1, -1
1956, 26, 9, 17, 19, 13, 22, 2, 10, 13, -1, -1, -1
1957, 14, 11, 15, 11, 12, 16, 2, 10, 13, -1, -1, -1
1958, 14, 11, 11, 16, 12, 22, 2, 10, 13, -1, -1, -1
1959, 21, 11, 11, 18, 11, 14, 2, 10, 13, -1, -1, -1
1960, 18, 10, 13, 20, 12, 15, 17, 12, 12, -1, -1, -1
1961, 16, 12, 17, 18, 10, 14, 2, 12, 12, -1, -1, -1
1962, 20, 11, 10, 14, 10, 15, 2, 12, 12, -1, -1, -1
1963, 11, 10, 17, 15, 10, 12, 2, 12, 12, -1, -1, -1
1964, 14, 10, 15, 13, 10, 14, 3, 12, 12, -1, -1, -1
1965, 17, 13, 10, 10, 12, 18, 22, 9, 10, -1, -1, -1
1966, 17, 12, 12, 12, 11, 13, 3, 9, 10, -1, -1, -1
1967, 9, 10, 17, 22, 13, 13, 1, 9, 10, -1, -1, -1
1968, 15, 10, 17, 11, 12, 16, 2, 9, 10, -1, -1, -1
1969, 12, 12, 16, 25, 10, 19, 3, 9, 10, -1, -1, -1
1970, 20, 12, 18, 12, 13, 12, 10, 11, 9, -1, -1, -1
1971, 20, 13, 10, 19, 10, 17, 2, 11, 9, -1, -1, -1
1972, 15, 10, 13, 20, 13, 15, 3, 11, 9, -1, -1, -1
1973, 9, 10, 15, 17, 12, 15, 2, 11, 9, -1, -1, -1
1974, 18, 13, 13, 17, 9, 9, 3, 11, 9, -1, -1, -1
1975, 11, 11, 8, 17, 11, 18, 21, 10, 13, -1, -1, -1
1976, 11, 13, 9, 14, 11, 15, 1, 10, 13, -1, -1, -1
1977, 19, 10, 22, 21, 11, 10, 2, 10, 13, -1, -1, -1
1978, 22, 12, 15, 15, 11, 18, 3, 10, 13, -1, -1, -1
1979, 17, 10, 11, 12, 12, 11, 3, 10, 13, -1, -1, -1
1980, 20, 11, 12, 14, 13, 20, 17, 7, 13, -1, -1, -1
1981, 20, 8, 15, 13, 14, 21, 1, 7, 13, -1, -1, -1
1982, 15, 13, 16, 21, 11, 17, 2, 7, 13, -1, -1, -1
1983, 16, 9, 11, 18, 11, 10, 3, 7, 13, -1, -1, -1
1984, 17, 11, 12, 16, 10, 18, 2, 7, 13, -1, -1, -1
1985, 14, 12, 15, 17, 12, 18, 14, 11, 10, -1, -1, -1
1986, 21, 10, 18, 12, 13, 20, 1, 11, 10, -1, -1, -1
1987, 15, 12, 13, 17, 11, 19, 1, 11, 10, -1, -1, -1
1988, 13, 13, 17, 17, 11, 13, 3, 11, 10, -1, -1, -1
1989, 12, 11, 14, 8, 11, 14, 2, 11, 10, -1, -1, -1
1990, 20, 11, 14, 22, 11, 16, 19, 8, 13, -1, -1, -1
1991, 17, 11, 11, 15, 11, 15, 1, 8, 13, -1, -1, -1
1992, 15, 13, 13, 16, 12, 17, 1, 8, 13, -1, -1, -1
1993, 13, 12, 14, 17, 11, 17, 2, 8, 13, -1, -1, -1
1994, 19, 9, 15, 15, 12, 11, 1, 8, 13, -1, -1, -1
1995, 20, 10, 16, 16, 9, 13, 9, 14, 14, -1, -1, -1
1996, 13, 12, 16, 17, 12, 22, 2, 14, 14, -1, -1, -1
1997, 9, 12, 12, 17, 10, 7, 2, 14, 14, -1, -1, -1
1998, 11, 12, 13, 20, 10, 10, 3, 14, 14, -1, -1, -1
1999, 12, 11, 17, 14, 12, 14, 2, 14, 14, -1, -1, -1
2000, 20, 10, 9, 19, 10, 10, 10, 12, 8, -1, -1, -1
2001, 11, 9, 15, 11, 13, 19, 3, 12, 8, -1, -1, -1
2002, 19, 12, 11, 16, 12, 13, 1, 12, 8, -1, -1, -1
2003, 12, 14, 15, 15, 13, 11, 3, 12, 8, -1, -1, -1
2004, 13, 13, 14, 12, 11, 10, 1, 12, 8, -1, -1, -1
2005, 7, 12, 10, 27, 13, 14, 22, 12, 12, -1, -1, -1
2006, 24, 8, 18, 15, 9, 20, 3, 12, 12, -1, -1, -1
2007, 16, 10, 16, 24, 13, 19, 2, 12, 12, -1, -1, -1
2008, 22, 11, 12, 21, 12, 17, 3, 12, 12, -1, -1, -1
2009, 18, 10, 14, 9, 11, 12, 3, 12, 12, -1, -1, -1
2010, 9, 11, 6, 23, 13, 20, 14, 11, 13, -1, -1, -1
2011, 15, 11, 8, 11, 12, 14, 2, 11, 13, -1, -1, -1
2012, 14, 12, 16, 11, 12, 12, 3, 11, 13, -1, -1, -1
2013, 13, 11, 15, 16, 12, 13, 3, 11, 13, -1, -1, -1
2014, 12, 13, 14, 15, 11, 19, 1, 11, 13, -1, -1, -1
